"file","functions","variables","packages","reads","writes","sources"
"Change_Point_Directionv4ErrorBarsV2wthHTMLV3.R","ts_stamp, arg_val, is_nonempty_string, stop2, prompt_int, prompt_yesno, prompt_string, make_logger, resolve_script_path, read_script_header, register_input, register_output, deps_table, write_manifest_json, write_files_inventory, detect_amoc_split_day, calc_neff_from_matrix, make_day_matrix, pick_argmin_day, piecewise_break_day, excursion_day, resample_DT_within_day, compute_day_metrics, write_qmd_report, render_qmd_to_html, wide_mat","pkgs, missing, ts_stamp, arg_val, args, hit, is_nonempty_string, stop2, prompt_int, x, v, prompt_yesno, def, prompt_string, make_logger, stamp, line, resolve_script_path, p, ca, file_arg, p2, p3, known_script_filename, known_script_stem, script_full, script_name, script_path, read_script_header, script_header_text, outputs_root, register_input, register_output, deps_table, ok, write_manifest_json, write_files_inventory, files, rel, info, dt, detect_amoc_split_day, y2, fit, cp, calc_neff_from_matrix, X, s, ev, make_day_matrix, dd, W, M, pick_argmin_day, piecewise_break_day, y, n, cand_idx, sse_best, best_idx, tb, t, Ileft, Iright, yhat, sse, excursion_day, resample_DT_within_day, DT_by_day, out, d, DD, sids, draw, map, tmp, compute_day_metrics, DT0, gd, nz, m, keep_days_chr, cvw, iqrw, cvm, iqrm, miss, m_cv, m_iqr, eff, write_qmd_report, deps_lines, qmd, render_qmd_to_html, res, B_TOTAL, CORES, USE_LOG1P, MIN_NONZERO, PENALTY, MINSEGLEN, SOURCE, analysis_name_arg, analysis_name, run_id, output_dir, manifest_json_path, manifest_files_csv, logfile, logf, infile_arg, infile, DT, req, days_vec, rep_counts, obs, day_metrics, out_table1, obs_canal_cv, obs_canal_iqr, obs_infl_cv, obs_infl_iqr, obs_infl_eff, obs_exc_cv, obs_exc_iqr, obs_exc_eff, obs_amoc_cv, obs_amoc_iqr, obs_amoc_eff, genes_univ, D, boot_vals, boot, DTb, bm, out_boot_raw, ci_dt, out_ci, summ, out_t2, out_t3, out_t4, out_t5, DT2, gd_full, wide_mat, cvM, meanM, canal_day, idx, drop_in, stays, score, DTd, out_t6, cand_infl, infl_day, delta_mean, DTt, out_t7, ci_dt_plot, anno, p1, out_plot, deps_needed, deps_dt, run_timestamp, manifest, qmd_path, html_path, plot_rel, render_res, render_ok, inv_dt","data.table, matrixStats, changepoint, ggplot2, jsonlite, knitr, rmarkdown",NA,NA,NA
"edge_turnover_function_enrichment_permnull.R","ts_stamp, stop2, get_script_info, build_in_meta, write_manifest, read_csv_safely, pick_file, choose_from_list, guess_days_col, guess_delta_col, guess_endpoints_cols, guess_orig_cols, canon_pair, entropy_shannon, summarize_transition, permute_once, emp_p_two_sided","THIS_SCRIPT, ts_stamp, stop2, get_script_info, script_path, args, file_arg, p, build_in_meta, info, write_manifest, json_path, read_csv_safely, df, pick_file, choose_from_list, ans, idx, guess_days_col, cand, hit, guess_delta_col, guess_endpoints_cols, pairs, guess_orig_cols, c1, c2, cand_pairs, canon_pair, entropy_shannon, summarize_transition, a, b, d, pair, absd, pos, neg, tab_n, tab_abs, tab_signed, tab_pos, tab_neg, out, permute_once, f1, f2, emp_p_two_sided, mu, dev_obs, dev_null, in_path, nms, days_col, delta_col, eps, ep1, ep2, origs, orig1, use_fallback, n_perm, set_seed_txt, seed, proj, out_dir, out_meta, in_meta, project_manifest, transitions, pair_enrich_n_all, pair_enrich_abs_all, pair_sign_all, transition_summary, df_t, obs_pairs, p_n, H_n, p_abs, H_abs, obs_pair_names, null_n, null_abs, g1, g2, dvec, f1_obs, f2_obs, gene_to_func, dup_genes, genes_all, funcs_all, perm_funcs, gene_to_func_perm, res, n_vec, abs_vec, common, f1p, f2p, pairp, res_n, res_abs, obs_n, obs_abs, mu_n, z_n, p_n_emp, mu_abs, z_abs, p_abs_emp, enrich_n, enrich_abs, sign_tab, trans_sum, Pair_Enrichment_nEdges, Pair_Enrichment_sumAbsDelta, Pair_SignBalance, Transition_Summary, diag_path, con, manifest_path, out_dir_abs, paths, qmd_lines, qmd_path, old_wd",NA,"read.csv('%s","write.csv(Transition_Summary, write.csv(Pair_Enrichment_nEdges, write.csv(Pair_Enrichment_sumAbsDelta, write.csv(Pair_SignBalance","project_utils.R"
"PC1_Drivers_Overlap_Enrichment_MacNative.R","ts_stamp, stop2, arg_val, is_nonempty, get_script_path, is_rstudio, choose_file_mac, choose_dir_mac, cos_sim, jaccard, infer_gene_col, require_pc1, read_annotation_table, maybe_install, run_go_enrichment_gallus, read_gmt, run_gmt_enrichment_fgsea","ts_stamp, stop2, arg_val, args, hit, is_nonempty, get_script_path, p, is_rstudio, choose_file_mac, script, choose_dir_mac, d, cos_sim, x, ok, den, jaccard, a, u, infer_gene_col, candidates, non_pc, require_pc1, read_annotation_table, A, gc, have_clusterprof, have_orggg, have_fgsea, maybe_install, missing, run_go_enrichment_gallus, map, set_e, uni_e, ego, res, read_gmt, lines, sets, parts, run_gmt_enrichment_fgsea, ranks_named, fg, mean_path, cov_path, outdir, topN, enrich_mode, ont, annotation_csv, gmt_file, Mean, CoV, gcol_mean, gcol_cov, M, sim, top_mean, top_cv, overlap_genes, overlap_tbl, jac, summary_lines, Anno, top_mean_anno, top_cv_anno, p_bar, p1, p2, do_go, do_gmt, universe, gsets, ranks_mean, ranks_cv","data.table, ggplot2, clusterProfiler, org.Gg.eg.db, fgsea",NA,NA,NA
"ReactomePathayEnrichment.R","ts_stamp, sanitize_prefix, ensure_pkgs, pick_input_csv, pick_output_dir_with_prefix, auto_map_columns, validate_tidy_input, tidy_to_counts_matrix, build_voom_object, get_reactome_genesets_all, run_camera_pairwise, write_quarto_reactome_report, run_reactome_camera_pipeline_tidy","ts_stamp, sanitize_prefix, ensure_pkgs, pick_input_csv, pick_output_dir_with_prefix, base_dir, pref, out, x2, nm_raw, nm_key, default_key, syn_keys, idx, idx2, hits, idx3, suggested, ans, chosen, chosen2, auto_map_columns, nms, prop_day, prop_sample, prop_gene, prop_abund, day_col, sample_col, gene_col, abundance_col, validate_tidy_input, req, missing, tidy_to_counts_matrix, dt, dt_agg, day_per_sample, bad, sample_day, wide, genes, mat, day_factor, build_voom_object, design, dge, v, get_reactome_genesets_all, msig, geneSetList, universe_genes, run_camera_pairwise, sort_by, combos, res_list, contrast_label, cm, cres, key, outname, write_quarto_reactome_report, qmd_path, html_path, output_files, voom_formula, camera_description, report_lines, run_reactome_camera_pipeline_tidy, df, mapped, tc, vv, gene_sets, res, script_info, this_path","limma, edgeR, msigdbr",NA,"write.csv(cres","source(""reactome_camera_tidy_module.R"
"RV_MDS_ANALYSISv2.R","ts_stamp, stop2, msg, ensure_pkgs, arg_val, pick_file, ask_int, ask_yesno, is_true, resolve_script_path, build_file_inventory, deps_snapshot, sanitize_for_json, write_json_atomic, to_wide, build_day_matrix, calc_rv","ts_stamp, stop2, msg, ensure_pkgs, ip, missing, arg_val, args, hit, pick_file, ask_int, ans, out, ask_yesno, def, is_true, x, resolve_script_path, p, ca, file_arg, p2, p3, known_script_filename, known_script_stem, script_full, script_name, script_path, script_full_path, script_path_detection_note, build_file_inventory, files, out_dir_norm, files_norm, esc, rel, info, inv, deps_snapshot, pkgs, ver, sanitize_for_json, write_json_atomic, tmp, ok, in_path, metric, ref_day, top_k, expr_path, nboot_arg, seed, ci_level, transform, max_genes, run_boot_arg, save_boot_draws, debug, save_debug_files, alpha, outputs_root, analysis_name, source_stem, run_timestamp, run_id, out_dir, manifest_json_path, manifest_files_csv_path, theme_pub, df, req, missing_cols, key, df_rev, df_sym, days, diag_df, to_wide, mat, r, c, mat_mc, mat_rv, mat_fr, M, ref_profile_path, vals, df_ref, ylab, p_ref, D, S, mds, coords, p_mds, edges, ord, keep, to_days, sub, g, lay, build_day_matrix, d, samps, genes, i, j, v, med, calc_rv, matA, matB, c1, c2, num, den, maybe_run_bootstrap, nboot, expr_data, req_expr, missing_expr, master_mats, debug_day_summary, dd, gene_sets, common_genes, ref_mat, rv_obs, boot_results, ref_b, target_mat, target_b, ci_low, ci_high, out_df, dep_pkgs, dependencies, manifest_obj, report_qmd_path, report_html_path, header_text, qmd_lines, render_ok, render_err","ggplot2, igraph, jsonlite, knitr","read.csv('Project_Manifest_Files.csv","write.csv(inv, write.csv(df_sym, write.csv(mat_mc, write.csv(mat_rv, write.csv(mat_fr, write.csv(df_ref, write.csv(coords, write.csv(edges, write.csv(debug_day_summary, write.csv(data.frame(Gene = common_genes), write.csv(data.frame(Day = days, write.csv(out_df, write.csv(boot_results",NA
"top50TRANSCRIPTOMECorrrStructure_by_Day_liver_v2.R","resolve_script_path, timestamp, extract_header_text, pick_file_interactive, safe_read_csv, normalize_colnames_tx, as_numeric_day, wide_day_matrix, log2_fpkm, filter_genes_day, zscore_cols, correlation_matrix, upper_vec, matrix_correlation, frobenius_distance, rv_coefficient, pc1_similarity, edge_turnover, graph_metrics_fixed_density, save_base_heatmap, plot_global_similarity, plot_network_metrics, deps_versions, generated_files","resolve_script_path, p, ca, file_arg, p2, p3, known_script_filename, known_script_stem, script_full, script_name, script_path, timestamp, outputs_root, extract_header_text, x, keep, script_header_text, req_pkgs, pick_file_interactive, path, safe_read_csv, normalize_colnames_tx, nms, lower, req, idx, missing, out, as_numeric_day, wide_day_matrix, df_day, key, samples, genes, mat, log2_fpkm, filter_genes_day, nn, m, s, zscore_cols, mu, correlation_matrix, R, upper_vec, matrix_correlation, a, frobenius_distance, rv_coefficient, num, den, pc1_similarity, ea, eb, va, vb, cos, cos_abs, angle_deg, edge_turnover, iu, rA, rB, dr, graph_metrics_fixed_density, n_possible, k, rvals, ord, take, edges, w, g, comps, giant_size, giant_frac, clust, mod, n_comm, comm, save_base_heatmap, op, plot_global_similarity, labs, plot_network_metrics, in_path, raw, dat, sources, src_choice, src_i, SRC, dflt_days, days_in, day_str, days, missing_days, pc_str, pseudocount, mm_str, min_mean, msd_str, min_sd, dens_str, density, topn_str, topN, make_heatmaps, save_heat, run_id, out_dir, R_list, qc, df_d, logmat, zmat, common_genes, pairs, sim_rows, d1, A, sim_df, et, pc_rows, pc, pc_df, ee, pc1, j, pc1_df, net_rows, met, net_df, plot_sim_png, plot_net_png, deps_versions, ver, generated_files, manifest, manifest_json_path, manifest_csv_path, mf, qmd_path, html_path, heat_pngs, summary_pngs, dep_tbl, dep_md, qmd_lines, render_ok, render_msg, mf2","igraph",NA,"write.csv(qc, write.csv(sim_df, write.csv(et, write.csv(pc_df, write.csv(pc1_df, write.csv(net_df, write.csv(mf, write.csv(mf2",NA
