"file","functions","variables","packages","reads","writes","sources"
"Delata_Delta_Grouping Comparison.R","msg, timestamp_string, norm_path, safe_dir_create, pick_file, choose_from_list, choose_column, get_script_identity, to_json_safe, setup_output_dir, read_csv_strict, build_delta_profiles, filter_delta_matrix, method_timing_groups, method_sign_patterns, sign_code, safe_cor, method_network_communities, mean_upper_tri, method_pathway_coherence, write_contingency, build_and_render_report, esc","msg, have_rstudioapi, have_igraph, have_quarto, SET_SEED, timestamp_string, norm_path, safe_dir_create, pick_file, p, choose_from_list, ans, k, choose_column, cols, idx, get_script_identity, script_full, args, file_arg, to_json_safe, sp, s, nms, parts, setup_output_dir, run_name, ts, out_dir, read_csv_strict, build_delta_profiles, day, gene, val, days, genes, X, key, agg, keys, spl, g, d, D, filter_delta_matrix, ok, v2, method_timing_groups, timing_transition, max_abs_delta, method_sign_patterns, sign_code, pat, safe_cor, C, method_network_communities, build, assignments, edges_out, n, edges, r, rr, ord, nbrs, E, cl, memb, mean_upper_tri, method_pathway_coherence, all_genes, map_df, pathways, res, Cobs, obs, null, gset, Cn, p_hi, z, out, write_contingency, tab, m, build_and_render_report, qmd_name, qmd_path, esc, qmd_lines, html_path, old_wd, qmd_rel, note, fallback, input_file, df, day_col, gene_col, val_col, use_pathway, pathway_file, eps_flat, min_trans, cor_method, net_build, net_topk, net_thr, path_nullB, od, output_dir, tables_dir, fig_dir, man_dir, rep_dir, built, delta_csv, timing_df, timing_out, sign_df, sign_out, net, net_out, edge_out, path_out, path_df, path_note, assign, m1, m2, m3, assign_out, tim_tab, pat_tab, topN, com_tab, showN, ident, inventory_path, inv, params, manifest, manifest_json, deps, script_header, qr",NA,NA,"write.csv(out, write.csv(data.frame(Source = rownames(D), write.csv(timing_df, write.csv(sign_df, write.csv(net$assignments, write.csv(net$edges, write.csv(path_df, write.csv(assign",NA
"EdgeTurnoverSummary.R","ok, msg, now_stamp, safe_norm, script_identity, choose_file_mac, choose_dir_mac, dir_create, write_json, build_file_inventory, parse_daypair_from_filename, keep_sequential_chain, classify_persistence, read_edge_one","ok, msg, now_stamp, safe_norm, p, out, script_identity, args, file_flag, script_path, hit, choose_file_mac, p2, choose_dir_mac, dir_create, write_json, build_file_inventory, files, info, inv, parse_daypair_from_filename, m, r, a, keep_sequential_chain, daypairs_df, start_idx, chain_idx, current_idx, current_end, next_candidates, next_idx, classify_persistence, nT, first_mid, mapping_path, edges_dir, run_id, output_dir, out_long_csv, out_pair_csv, out_unified_csv, manifest_json, manifest_filescsv, report_qmd, report_html, mapping, req_map_cols, miss_map, edge_files, pairs, pairs_chain, read_edge_one, df, req_cols, miss, edge_list, edges, edges_annot, qc_total_edges, qc_unmapped_edges, qc_unmapped_frac, pair_by_transition, unified, trans_order, deps, deps_present, si, manifest, inv0, qmd_lines, render_ok, render_err, quarto_bin, cmd, res, inv1","jsonlite, readr, dplyr",NA,"write.csv(inv",NA
"EffDim_Bootstrap_Analysis.R","ts_stamp, is_nonempty_string, prompt_string, prompt_yesno, prompt_int, stop2, make_logger, register_input, register_output, deps_table, write_manifest_json, write_files_inventory, skewness, overlap_coef, p_dominance, parse_pairs, get_x, parse_phases, write_qmd_report, render_qmd_to_html","pkgs, missing, ts_stamp, is_nonempty_string, prompt_string, x, prompt_yesno, def, prompt_int, v, stop2, make_logger, stamp, line, outputs_root, register_input, register_output, deps_table, ok, write_manifest_json, write_files_inventory, files, rel, info, dt, skewness, m, overlap_coef, y, rx, lo, dx, dy, p_dominance, B, ix, iy, analysis_name, SOURCE, infile, do_skew, do_overlap, do_html, contrast_mode, custom_pairs_text, do_phases, phase_text, run_id, output_dir, logfile, logf, manifest_json_path, manifest_files_csv, DT, needed, miss, days_vec, day_summ, out_day, parse_pairs, text, parts, out, qq, d1, d2, pairs_dt, contrasts, get_x, out_con, phase_summ, phase_contrasts, parse_phases, p, kv, nm, ds, dv, ph_map, DTp, out_ph, phs, ph_pairs, out_phc, out_plot, deps_dt, run_timestamp, manifest, write_qmd_report, qmd, render_qmd_to_html, qmd_path, html_path, res, inv_dt","data.table, jsonlite, knitr, rmarkdown, ggplot2",NA,NA,NA
"Expression_2_TIDYformat.R","ts_stamp, safe_basename_noext, stop2, is_rstudio, choose_input_file, choose_output_dir, read_table_auto, prompt_numeric, write_log","ts_stamp, safe_basename_noext, b, stop2, is_rstudio, choose_input_file, f, choose_output_dir, out, read_table_auto, ext, df, prompt_numeric, x, val, write_log, infile, outdir, base, outfile, logfile, log_lines, colnames_in, gene_cols, gene_cols_unique, tidy, DT, stacked, n_rows_pre_filter, n_genes_pre_filter, filter_threshold, gene_data, col_means, keep_genes_idx, keep_genes_names, df_filtered, genes_removed, n_rows_post_filter, n_genes_post_filter, tidy_out",NA,NA,"write.csv(tidy_out",NA
"Identify_Bridging_Genes_FullNetworkver4.R","quiet_install_if_missing, resolve_script_path, choose_directory, infer_day, build_graph_fixed_density, participation_coeff, plot_2x2, panel_text, make_integrated_long, make_wide_metric, pick_exemplars, get_deps, build_file_inventory","enable_plotly, enable_runtime_tracking, start_time, quiet_install_if_missing, base_required, resolve_script_path, p, ca, file_arg, p2, p3, known_script_filename, known_script_stem, script_full, script_name, script_path, analysis_name, run_timestamp, run_id_base, outputs_root, output_dir, k, candidate, run_id, choose_directory, mat_dir, pat, files, infer_day, m, days, bad, ord_days, mat_dir_norm, mat_dir_name, files_full, files_base, files_by_day, edge_density, use_weighted_paths, na_frac_thr, betweenness_quantile, n_exemplars_per_quadrant, top_n_for_trajectory_plot, trajectory_plot_png_width, trajectory_plot_png_height, trajectory_plot_png_res, build_graph_fixed_density, genes, iu, rvals, ord, edges, g, participation_coeff, vnames, missing, ki, P, vname, deg, nbrs, nbr_names, comms, tab, frac, plot_2x2, panel_text, make_integrated_long, out, make_wide_metric, df, wide, cn, desired, per_day_results, all_genes, excluded_genes, f, day, R, na_frac, bad_genes, keep, comm, memb, part, betw, out_csv, excluded_csv, excl_df, integrated_long, out_long, day_levels, wide_part, wide_betw, wide_deg, out_wide_part, out_wide_betw, out_wide_deg, summary, gsym, pvals, bvals, dvals, row, out_sum, traj_png, traj_plotly_rds, top_n, top_genes, traj_df, p_traj, w, dd, bw_nonzero, out_roles, out_png, out_pdf, bw_cut, pick_exemplars, dfq, q1, q2, q3, q4, ex1, ex2, ex3, ex4, excluded_counts_png, excl_counts, plotly_rds, get_deps, ver, build_file_inventory, info, inv, end_time, runtime_seconds, deps_pkgs, deps_df, manifest, manifest_json_path, manifest_files_csv_path, report_qmd_path, report_html_path, script_header_text, txt, qmd_lines, render_ok, render_err","igraph, jsonlite, rmarkdown, knitr, tools, ggplot2, plotly, htmltools","read.csv('Project_Manifest_Files.csv, read.csv('BridgingGenes_Integrated_Long_AllDays.csv, read.csv('BridgingGenes_Integrated_Wide_Participation.csv, read.csv('BridgingGenes_Integrated_Wide_Betweenness.csv, read.csv('BridgingGenes_Integrated_Wide_Degree.csv, read.csv('BridgingGenes_SummaryAcrossDays.csv","write.csv(df, write.csv(excl_df, write.csv(integrated_long, write.csv(wide_part, write.csv(wide_betw, write.csv(wide_deg, write.csv(summary, write.csv(
      data.frame(path = character(), write.csv(inv",NA
"Mean_Dispersion_takesMultiple_SourcesVer3.R","quiet_install_if_missing, resolve_script_path, arg_val, arg_flag, stop2, safe_slug, normalize_transform, pick_col, is_multi, apply_transform, disp_fun, agg_fun, compute_two_panel, pkg_versions, write_file_inventory, get_header_block","enable_plotly, enable_runtime_tracking, start_time, quiet_install_if_missing, to_install, base_pkgs, resolve_script_path, p, ca, file_arg, p2, p3, known_script_filename, known_script_stem, script_full, script_name, script_path, args, arg_val, hit, arg_flag, v, stop2, safe_slug, x, in_path, band_mode, q_lo_band, q_hi_band, disp_metric, disp_agg, log_abundance, write_pdf, transform_raw, pseudocount, split_by_source_raw, include_pooled, source_regex, ci_on, ci_level, ci_mode, seed, n_boot_raw, suggested_default_boot, col_day, col_sample, col_feature, col_abundance, col_source, analysis_name, prompt, ans, n_boot, error_style, ans_err, normalize_transform, transform_choice, ans_pc, pc2, transform_label, outputs_root, run_timestamp, run_stamp, run_id, output_dir, dt0, nm0, nm, pick_col, hits, is_multi, cand_day, cand_sample, cand_feature, cand_abund, cand_source, keep, has_source, n_sources, split_by_source, source_tag_for_run, run_id_final, output_dir_final, apply_transform, out, min_val, disp_fun, agg_fun, compute_two_panel, dt_use, rep_means, A_df, band_label, feat_disp, B_df, alpha, q_lo_ci, q_hi_ci, days, fd_by_day, ci_list, d, fdd, vals, boot_vals, nF, samp, B_ci, dt_by_day, ddt, sample_list, snames, nS, idx_b, dboot, fd_b, transform_note, pA, pB, fig, base, out_png, out_csv, out_pdf, out_rds_pA, out_rds_pB, daily_summary, results, all_plot_pngs, all_daily_csvs, all_plot_rds, src_vals, dts, res, source_label, pkg_versions, write_file_inventory, files, inv, info, end_time, runtime_seconds, manifest_json_path, manifest_files_csv, deps_df, deps_list, manifest, get_header_block, lines, take_n, head_lines, started, header_text, qmd_path, html_path, static_png_for_report, log_note_lines, qmd, render_ok, render_err","data.table, ggplot2, patchwork",NA,NA,NA
"Mean_Variance_Coupling.R","quiet_install, resolve_script_path, write_inventory, pick_input_file, read_delim_any, guess_col, choose_col, ask_transform, fit_residuals_one_day, get_pkg_versions, read_header_block","start_time, analysis_name, enable_plotly, runtime_tracking, write_gene_level_csv, loess_span, min_genes_per_day, min_reps_per_gene_day, quiet_install, base_pkgs, plotly_pkgs, rstudio_pkg, resolve_script_path, p, ca, file_arg, p2, p3, known_script_filename, known_script_stem, script_full, script_name, script_path, timestamp, run_id, output_dir, write_inventory, files, inv, info, pick_input_file, in_arg, input_path, input_path_norm, source_label, read_delim_any, ext, dt, guess_col, hit, cn, day_col, feat_col, rep_col, val_col, choose_col, idx, dt2, transform_mode, pseudocount, ask_transform, ans, mode, pc, ans2, tr, t_arg, pc_arg, rep_counts, keep_pairs, dt2k, gd, eps, fit_residuals_one_day, df_day, fit, ok, fit2, gd_res, by_day, summary_csv, gene_level_csv, plot1_path, p_resid, days, pick_day, df_sc, plot2_path, p_sc, get_pkg_versions, v, deps, manifest_path, inventory_path, runtime_seconds, manifest, read_header_block, lines, out, header_txt, qmd_path, html_out, qmd, end_time, qmd_lines, render_ok, render_err, inv_dt","data.table, ggplot2, jsonlite, rmarkdown, knitr, plotly",NA,NA,NA
"MeanAnalysis2ver2.R","quiet_require, resolve_script_path, safe_name, mean_ci95, plot_feature, get_header_block, pkg_versions, write_file_inventory, levene_F_median, worker_fun, mk","enable_plotly, enable_runtime_tracking, start_time, quiet_require, resolve_script_path, p, ca, file_arg, p2, p3, known_script_filename, known_script_stem, script_full, script_name, script_path, set_seed, log_transform, log_pseudocount, make_plots, top_n_features_per_source, min_n_per_day_for_stats, plot_width, plot_height, plot_res, sampleid_policy, add_global_band, global_band_type, global_center, band_fill_col, do_levene_perm, n_perm_levene, do_system_cv_perm, n_perm_system_cv, focus_peak_day, focus_trough_day, use_parallel, n_cores, analysis_name, safe_name, mean_ci95, x, n, mu, s, se, tcrit, plot_feature, dd, okp, ylim_vals, okci, get_header_block, lines, take_n, head_lines, keep, started, pkg_versions, out, v, write_file_inventory, files, inv, rel, info, args, input_arg, infile, df_raw, required_cols, missing_cols, extra_cols, bad_id, diag, msg, bad, tidy, transform_mode, sources, features, outputs_root, source_tag, run_timestamp, run_id, output_dir, out_prefix, levene_perm_df, levene_F_median, ok, values, groups, k, meds, z, a, F, df1, df2, key_vec, idx_list, keys, worker_fun, idx, src, met, g, obs, perm_p, Fnull, gp, tmp, res_list, out_levene_perm, sum_rows, si, sub_src, days, sub_met, stats, mean_byday_df, out_mean_byday, cv_only_df, out_cv_only, group_mean_cv_df, cv_ok, g_list, gi, sub, st, out_group_mean_cv, group_cv_band_df, b_list, bi, q25, q75, q10, q90, out_group_cv_band, system_cv_perm_results, base, rj, days_src, obs_mean_byday, obs_peak, obs_trough, obs_peak_focus, obs_trough_focus, peak_null, trough_null, peak_focus_null, trough_focus_null, perm_day, perm_mean, p_peak_global, p_trough_global, p_peak_focus, p_trough_focus, out_system_perm, avg_rows, ai, avg_df, out_avg_byday, rep_sys, rep_list, ri, parts, out_rep_sys, sysmean_cv_df, sm_list, si2, cv, out_sysmean_cv, glob_rep_df, band_rep_df, days_all, gr_list, br_list, center_val, qlo, qhi, out_global, out_band, keyplot_path, gdf, bdf, okb, b2, mk, plot_root, dir_feat, dir_avg, m, b, out_file, ord, xd, lo, hi, ylab_feat, srcs, cols, sdf, feat_means, keep_feats, sdir, gplot, bplot, okband_idx, okband_any, manifest_json_path, manifest_files_csv, deps_list, execution_mode, r_info, manifest, qmd_path, html_name, html_full, header_block, qmd_lines","plotly, ggplot2",NA,"write.csv(inv, write.csv(levene_perm_df, write.csv(mean_byday_df, write.csv(cv_only_df, write.csv(group_mean_cv_df, write.csv(group_cv_band_df, write.csv(system_cv_perm_results, write.csv(avg_df, write.csv(rep_sys, write.csv(sysmean_cv_df, write.csv(glob_rep_df, write.csv(band_rep_df","source(""MeanAnalysis2.R"
"ncbi_coords_galgal7.R",NA,"script_full, script_name, timestamp, gene_file, raw_input, gene_col, gff_file, run_name, output_dir, gff_raw, gff_df, col_idx, chr_col_name, chr_map, target_list, coords, final_coords, final_table, bed_out, qmd_content, old_wd","rtracklayer",NA,NA,NA
"Network_Volatility_Enginever2.R","safe_require, is_rstudio, pick_dir, ask_yes_no, stop_if_cancel","safe_require, miss, is_rstudio, pick_dir, d, ask_yes_no, ans, stop_if_cancel, timestamp, turnover_dir, do_limma, limma_dir, turnover_files, fname, ord_num, o, preview_dt, gene1_col, gene2_col, delta_col, run_name, output_root, output_dir, edge_list, f, dt, needed, out, edge_long, dt1, dt2, gene_partner, gene_metrics_by_file, pivot_summary, n_perm, edges_split, files_vec, observed_genes, obs_scores, exceed, perm_metrics_all, ed, nE, endpoints, endpoints_perm, g1p, g2p, p1, p2, gp, pm, perm_summary, tmp, p_value, limma_files, de_all, gene_col_guess, de_sum, de_unique, top_pivots, ego, ego_out, filtered, plot_dt, top_gene, timeline, timeline_df, p3, old_wd, full_csv, fdr_csv, turnover_files_abs, out_files_rel, out_files_abs, qmd_filename, qmd_content, html_path","p, character.only = TRUE","read.csv('Master_Pivot_Analysis_Full.csv, read.csv('Master_Pivot_Analysis_Filtered_FDR05.csv","write.csv(data.frame()",NA
"PC1_Maintainer_Finder.R","resolve_script_path, install_if_missing, log_msg, pick_input_csv, extract_day, iqr_vec, get_pkg_versions, build_file_inventory, read_script_header","enable_plotly, enable_runtime_tracking, start_time, resolve_script_path, p, ca, file_arg, p2, p3, known_script_filename, known_script_stem, script_full, script_name, script_path, install_if_missing, base_pkgs, analysis_pkgs, analysis_name, outputs_root, run_timestamp, run_id, output_dir, log_path, log_msg, msg, ts, pick_input_csv, inp_arg, input_csv, dt, gene_col_candidates, gene_col, pc1_cols, extract_day, days, ord, X, absX, choice, cutoff_params, N, P, thr, persist_k, rank_sd_cut, rank_iqr_cut, n_genes, hit, v, idx, persistence_days, is_maintainer, rank_mat, iqr_vec, gene_metrics, out_metrics_csv, out_core_csv, out_secondary_csv, topN_for_export, day_top_list, day_top_dt, out_daytop_csv, p1, png1, png2, rds_p1, rds_p2, plotly_html, w_ok, w, get_pkg_versions, ip, out, deps, dependencies, parameters, runtime_seconds, end_time, manifest_json_path, manifest_files_csv_path, manifest, build_file_inventory, files, info, inv, read_script_header, lines, hdr, script_header_text, report_qmd_name, report_html_name, report_qmd_path, report_html_path, qmd_lines, render_ok, render_err","jsonlite, knitr, rmarkdown, data.table, ggplot2, plotly, htmlwidgets, htmltools",NA,NA,NA
"pearson_spearman_bootPermspearmWITHstabilityVWE3.R","correlation_matrix, pairwise_n_matrix, p_from_r_matrix, mask_by_min_n, bootstrap_matrix, analyze_day","args, file_arg, p, d, scale_choice, pseudocount, pc_in, analysis_scale_tag, boot_R, max_cores, use_cores, stab_r_thr, min_n, input_file, mydata, base_dir, prefix_input, input_name, timestamp, timestamp_human, output_dir, expr_dir, cor_by_day_dir, corr_mat_root, corr_mat_pearson, corr_mat_spearman, corr_mat_pearson_z, script_path, script_name, num_vars, min_val, tab, var_vec, default_cutoff, percentile_cutoff, grid_cutoffs, cutoffs_df, total_vars, out_sweep, p_sweep, log_var_vec, tbl_print, row_choice, chosen_cutoff, kept_n, total_n, confirm, variance_threshold, keep_vars, user_fdr_method, user_fdr_cutoff, split_groups, safe_group, out_file, correlation_matrix, pairwise_n_matrix, ok, nmat, p_from_r_matrix, valid, r, n, t_val, mask_by_min_n, bootstrap_matrix, cl, boot_results, idx, boot_array, lower, upper, med, width, prob_pos, prob_neg, directional_stability, magnitude_stability, boot_p_sign, analyze_day, sub, vars, mat, safe_day, pearson_cor, spearman_cor, pearson_p, spearman_p, mat_z, pearson_cor_z, boot_res, out, i, j, nij, low, up, days, results_list, cor_df, fdr_methods, stab_dir_min, stab_mag_min, fdr_col_suffix, fdr_col_name, fdr_vec, combined_file, cor_split, sd_values, top_pairs, top_df, plot, mat_all, nmat_all, global_cor_pearson, global_cor_spearman, global_p_pearson, global_p_spearman, global_results, pearson_r, spearman_r, abs_diff, global_out_path, timestamp_tag, script_path_q, script_name_q, script_dir_q, input_file_path, output_dir_path, combined_out_csv, global_out_csv, top_plot_png, cor_by_day_dir_q, expr_by_day_dir_q, header_text, sl, is_comment, end_idx, block, deps, yaml, run_settings, header_section, deps_section, metadata, outputs, checks_chunk, qmd_lines, report_base, qmd_dir, qmd_path, res","parallel, ggplot2, pbapply, stats",NA,"write.csv(cutoffs_df, write.csv(split_groups[[group_name]], write.csv(
    pearson_cor, write.csv(
    spearman_cor, write.csv(
    pearson_cor_z, write.csv(cor_df, write.csv(cor_split[[day_name]], write.csv(global_results",NA
"PublcationPLOTTER_V4.R","ts_stamp, stop2, theme_pub, choose_csv, show_cols, col_quick_stats, choose_column, choose_optional_column, choose_plot_type, choose_yes_no, choose_numeric_columns, choose_color, choose_group_palette, infer_axis_label, choose_axis_label, safe_stem, coerce_numeric_if_reasonable, n_unique_non_na, require_not_constant, suggest_default_y_for_xy, apply_group_palette, plot_pca_scores, plot_xy_scatter, detect_ci_triplet, plot_timecourse, plot_summary_interval, plot_histogram, save_pub, save_plotly_html, write_run_log, write_quarto_report","ts_stamp, stop2, needed, missing, has_ragg, theme_pub, choose_csv, show_cols, cols, col_quick_stats, nm, x, cls, nunq, msg, rng, choose_column, idx, choose_optional_column, choose_plot_type, choose_yes_no, ans, choose_numeric_columns, num_cols, sel, choose_color, choose_group_palette, infer_axis_label, axis, candidates, hit, v, choose_axis_label, safe_stem, coerce_numeric_if_reasonable, v0, v1, orig_na, new_na, n_unique_non_na, require_not_constant, suggest_default_y_for_xy, apply_group_palette, plot_pca_scores, X, ok, bad, pca, scores, var_expl, plot_df, default_xlab, default_ylab, xlab_use, ylab_use, p, plot_xy_scatter, detect_ci_triplet, canon, y_lc, mid_like, lo_like, hi_like, has_mid, lo_hit, hi_hit, lo2, hi2, plot_timecourse, plot_summary_interval, geom_style, plot_histogram, xvals, mu, se, ci, save_pub, pdf_path, png_path, save_plotly_html, html_path, gg, w_px, h_px, write_run_log, log_path, lines, write_quarto_report, qmd_path, html_out, blocks, qbin, old, idx_path, body, csv_path, df, out_dir, lp, legend_pos, plot_type, plotly_files, x_col, y_col, lo_col, hi_col, use_bounds, auto, group_col, facet_col, show_points, group_palette, title, xlab_default, ylab_default, xlab, ylab, width, height, stem, paths, htmlp, rep, st, bins, show_mean, show_ci, feature_cols, color_col, ellipse, suggested_y, use_suggest, add_identity, add_lm, line_color","ggplot2, dplyr, tidyr, scales, patchwork, rlang, grid, plotly, htmlwidgets",NA,NA,"source(""pub_plot_builder.R"
"SequentialPairPCA_TranscriptomeVer2.R","quiet_install, stop2, resolve_script_path, get_arg_value, normalize_transform_choice, apply_transform, choose_anchor_gene, anchor_vector_sign_by_gene, align_sign_to_reference, cosine_similarity, write_plot_safe, write_plot_rds_safe, build_sample_by_gene_matrix, pca_from_matrix, pca_var_expl, principal_angles_subspace, get_pkg_versions, write_inventory_csv, describe_file, render_with_quarto","quiet_install, required_pkgs, stop2, resolve_script_path, p, ca, file_arg, p2, p3, known_script_filename, known_script_stem, script_full, script_name, script_path, analysis_name, source_label, timestamp_tag, run_id, outputs_root, output_dir, args, get_arg_value, hit, input_csv, center_flag, scale_flag, anchor_gene_user, k_flag, transform_flag, pseudocount_flag, center, scale_, K_subspace, anchor_preference, normalize_transform_choice, y, transform_mode, pseudocount, pc, is_interactive_like, ans, ans2, transform_label, df, needed_cols, missing_cols, apply_transform, bad_n, days, day_pairs, choose_anchor_gene, anchor_vector_sign_by_gene, anchor_used, v, flipped, align_sign_to_reference, r, v2, cosine_similarity, denom, write_plot_safe, write_plot_rds_safe, build_sample_by_gene_matrix, mat_gene_sample, genes, mat, X, keep_cols, col_sd, keep_var, pca_from_matrix, pca_var_expl, principal_angles_subspace, k, Qa, Qb, M, s, ang, pair_summaries, d1, d2, pair_lbl, df_pair, samp_day, X_joint, pca_joint, ve_joint, load_joint, scores_joint, anchored_joint, load_joint2, anchor_used_joint, flipped_joint, top_k_plot, loadings_joint_path, scores_joint_path, joint_scores_plot_path, joint_load_plot_path, p_joint_scores, joint_scores_plot_rds_path, top_joint, p_joint_load, joint_load_plot_rds_path, mean_tbl, col_d1, col_d2, delta_tbl, delta_path, joint_delta_merge, cor_joint_loading_delta, df_d1, df_d2, X_d1, X_d2, day_pca_ok, cos_sim_pc1, angle_deg_pc1, cor_pc1, anchor_used_day, flipped_d2_to_d1, subspace_ok, k_used, mean_cos2, mean_angle_deg, max_angle_deg, subspace_angles_path, pca_d1, pca_d2, load_d1_full, load_d2_full, load_d1_pc12, load_d2_pc12, anch1, load_d1a, anch2, load_d2a, load_d1_path, load_d2_path, shared_pc1, v1, aligned, v2a, cos_clip, comp_df, p_comp, comp_scatter_path, comp_scatter_rds_path, n_pc_d1, n_pc_d2, k_max, shared_sub, pc_cols, A, B, ok_rows, ang_tbl, top_pos_joint, top_neg_joint, top_up, top_down, pair_summary_tbl, pair_summary_path, get_pkg_versions, out, deps_tbl, manifest_path_json, manifest_path_csv, header_text, lines, keep, started, manifest, write_inventory_csv, files, rel, info, inv, inv0, readme_path, describe_file, file_desc, inv_pre_report, qmd_path, html_path, header_lines_escaped, qmd_text, render_ok, render_msg, render_with_quarto, qbin, old, cmd, res, status, ok, inv_post_report, file_desc2, inv_final","dplyr, tidyr, readr, ggplot2, jsonlite, knitr","read.csv('Z_Manifest__README_FileDescriptions.csv",NA,NA
"top50TRANSCRIPTOMECorrrStructure_by_Day_liver_v2.R","resolve_script_path, timestamp, extract_header_text, pick_file_interactive, safe_read_csv, normalize_colnames_tx, as_numeric_day, wide_day_matrix, log2_fpkm, filter_genes_day, zscore_cols, correlation_matrix, upper_vec, matrix_correlation, frobenius_distance, rv_coefficient, pc1_similarity, edge_turnover, graph_metrics_fixed_density, save_base_heatmap, plot_global_similarity, plot_network_metrics, deps_versions, generated_files","resolve_script_path, p, ca, file_arg, p2, p3, known_script_filename, known_script_stem, script_full, script_name, script_path, timestamp, outputs_root, extract_header_text, x, keep, script_header_text, req_pkgs, pick_file_interactive, path, safe_read_csv, normalize_colnames_tx, nms, lower, req, idx, missing, out, as_numeric_day, wide_day_matrix, df_day, key, samples, genes, mat, log2_fpkm, filter_genes_day, nn, m, s, zscore_cols, mu, correlation_matrix, R, upper_vec, matrix_correlation, a, frobenius_distance, rv_coefficient, num, den, pc1_similarity, ea, eb, va, vb, cos, cos_abs, angle_deg, edge_turnover, iu, rA, rB, dr, graph_metrics_fixed_density, n_possible, k, rvals, ord, take, edges, w, g, comps, giant_size, giant_frac, clust, mod, n_comm, comm, save_base_heatmap, op, plot_global_similarity, labs, plot_network_metrics, in_path, raw, dat, sources, src_choice, src_i, SRC, dflt_days, days_in, day_str, days, missing_days, pc_str, pseudocount, mm_str, min_mean, msd_str, min_sd, dens_str, density, topn_str, topN, make_heatmaps, save_heat, run_id, out_dir, R_list, qc, df_d, logmat, zmat, common_genes, pairs, sim_rows, d1, A, sim_df, et, pc_rows, pc, pc_df, ee, pc1, j, pc1_df, net_rows, met, net_df, plot_sim_png, plot_net_png, deps_versions, ver, generated_files, manifest, manifest_json_path, manifest_csv_path, mf, qmd_path, html_path, heat_pngs, summary_pngs, dep_tbl, dep_md, qmd_lines, render_ok, render_msg, mf2","igraph",NA,"write.csv(qc, write.csv(sim_df, write.csv(et, write.csv(pc_df, write.csv(pc1_df, write.csv(net_df, write.csv(mf, write.csv(mf2",NA
"Z-score_Function_Scoring.R","choose_input_file, choose_output_parent_dir, safe_filename, day_from_col, fill_day_col","script_info, this_path, script_name, script_path, script_full, choose_input_file, p, choose_output_parent_dir, d, safe_filename, x, input_path, df, cols, default_gene_col, gene_col, ans, idx, func_col, timestamp, wd_now, out_base_name, outputs_root, output_dir, cutoff_n, is_expr_name, expr_cols, day_from_col, days_raw, days_num, bad_days, days, day_cols, rep_counts, X, gene_mean, gene_sd, Z, gene_day_meanZ, gene_day_meanAbsZ, cols_d, gene_level_wide, needed_now, missing_now, gene_ids_vec, group_vals_vec, gene_long, day_label, gene_long_ok, agg_mean_z, agg_mean_abs, uniq_gene_count_by_group, group_long, group_long_cutoff, group_levels, group_wide, fill_day_col, day_value_int, sub_df, out_col, tmp, day_col_order, group_wide_cutoff, fn_group_wide_all, fn_group_wide_cut, fn_group_long, fn_group_long_cut, fn_gene_wide, fn_gene_long, plot_signed_dir, plot_abs_dir, plot_df, plot_groups, dfg, p1, out1, p2, out2, manifest_list, manifest_path, inventory_df, inventory_path, required_objects, missing_objects, abs_script_path, abs_input_file, abs_output_path, header_capture_text, script_text_vec, comment_only_vec, qmd_file_name, html_file_name, qmd_full_path, html_full_path, dependency_pkg_vec, output_inventory_rel, math_section_vec, report_text_vec, prev_working_dir, render_ok, render_msg","utils, tools, stats, ggplot2, jsonlite",NA,"write.csv(group_wide, write.csv(group_wide_cutoff, write.csv(group_long, write.csv(group_long_cutoff, write.csv(gene_level_wide, write.csv(gene_long, write.csv(inventory_df",NA
