"file","functions","variables","packages","reads","writes","sources"
"01_compute_NSV_trajectories.R","ts_stamp, mad_robust, safe_scale, cor_robust, effective_dimensionality, frobenius_cosine_similarity, compute_D, compute_O, residualize_day, remove_top_pcs, select_top_var, compute_nsv_table, subsample_equal_n, plot_panel","infile, outdir, time_col, id_col, apply_log2_fpkm1, n_boot, use_shrinkage_if_available, use_parallel, min_sd, top_var_features, n_subsample, latent_k_grid, parallel_workers, ts_stamp, mad_robust, safe_scale, s, keep, X, cor_robust, effective_dimensionality, ev, frobenius_cosine_similarity, num, den, compute_D, per_gene, compute_O, Z, m, extreme, residualize_day, day_f, M, Xt, beta, resid, remove_top_pcs, sv, scores, B, nuisance, select_top_var, v, compute_nsv_table, days, nsv, R_by_day, d, idx, Xt2, R, Rprev, Rcur, common, sim, v1, v2, n1, n2, cosang, subsample_equal_n, idx_keep, X2, day2, df, day, sample_id, qc_lines, tab_day, days_sorted, deltas, sd_all, n_min, modes, X_resid, Xk, all_results, all_subsample, Xm, sub_tbls, sub, summ, mat, plot_panel, x, y, lo, hi, mode_to_plot, nsv_raw, readme","stats, utils, future, future.apply",NA,"write.csv(nsv, write.csv(summ",NA
"02_pub_plot_builder.R","ts_stamp, stop2, choose_csv, show_cols, choose_column","ts_stamp, stop2, needed, missing, has_ggrepel, choose_csv, show_cols, choose_column, idx, csv_path, df, day_col, d_col, d_lo_col, d_hi_col, ed_col, ed_lo_col, ed_hi_col, num_cols, df2, seg, title_txt, subtitle_txt, p, out_dir, stem, png_path, pdf_path","ggplot2, dplyr, grid",NA,NA,NA
"03_lagged_structure_coupling.R","install_if_missing, resolve_script_path, ts_stamp, stop2, safe_write_lines, safe_write_csv, pkg_versions_tbl, write_file_inventory, rv_coeff, compute_day_cor, compute_tx_nsv_from_tidy, lagged_rank_coupling","install_if_missing, missing, required_pkgs, resolve_script_path, p, ca, file_arg, p2, p3, known_script_filename, known_script_stem, script_full, script_name, script_path, script_full_note, ts_stamp, analysis_name, source_tag, outputs_root, run_id, output_dir, stop2, safe_write_lines, con, safe_write_csv, pkg_versions_tbl, ip, keep, write_file_inventory, files, rel, info, inv, rv_coeff, num, sA, sB, den, compute_day_cor, compute_tx_nsv_from_tidy, req, wide, days, cor_list, sub, X, out, d_prev, d_cur, delta, R_prev, R_cur, rv, s_adj, s_pd, lagged_rank_coupling, met_tbl, tx_tbl, res, joined, n, ct, met_nsv_path, tx_tidy_path, met_arg, tx_arg, run_ok, analysis_err, out_met_copy, out_tx_copy, out_tx_nsv, out_lag_csv, out_best_txt, out_plot_png, met, met_use, tx_tidy, tx_nsv, lags, lag_tbl, best, best_lines, plt, manifest_path, inventory_path, deps_tbl, manifest, inv0, header_text, lines, cap, qmd_path, html_name, html_path, qmd, render_ok, render_msg, inv1, msg, m, m2","dplyr, tidyr, ggplot2, jsonlite, knitr, rmarkdown","read.csv('%s, read.csv('Project_Manifest_Files.csv","write.csv(df",NA
"Phase_Diagrams.R","resolve_script_path, ts_stamp, stop2, safe_stem, norm_name, write_inventory_csv, write_manifest_json, choose_csv_one, read_one_phase_csv, detect_col, detect_metric_triplet, is_pref, prompt_for_colname, load_inputs, theme_pub, to_num, save_plot","resolve_script_path, p, ca, file_arg, p2, p3, known_script_filename, known_script_stem, script_full, script_name, script_path, script_full_note, fallback_used_for_reporting, ts_stamp, stop2, safe_stem, norm_name, analysis_name, outputs_root, run_id, output_dir, needed, missing, has_ggrepel, has_patchwork, deps_df, write_inventory_csv, files, rel, info, inv, write_manifest_json, choose_csv_one, read_one_phase_csv, df, detect_col, nn, cand_norm, hit, detect_metric_triplet, nms, pref, is_pref, mid_candidates, lo_candidates, hi_candidates, mid, lo, hi, prompt_for_colname, raw, idx, load_inputs, dfs, paths, mode_col, mode_label, add_more, bind, theme_pub, inputs, raw_df, input_paths, day_col, d_trip, ed_trip, to_num, has_uncertainty, use_uncertainty, ans, seg, df_delta, plot_title, plot_subtitle, p_phase, p_phase_unc, p_delta, df_vec, p_vec, save_plot, png_path, pdf_path, files_out, manifest_path, inventory_path, manifest_list, script_header_text, qmd_path, html_out, main_plot_path, qmd_lines, render_ok, render_msg, inv_df","ggplot2, dplyr, tidyr, jsonlite, knitr, rmarkdown",NA,"write.csv(inv",NA
